event,outcome,weightclass,method,round,time,fight_id,fighter1,fighter2,date
UFC Fight Night: Santos vs. Walker,0.0,lw,ko_tko,2,171,dfa2f5c821a52c63,Devonte Smith ,Jamie Mullarkey,2021-10-02
UFC Fight Night: Santos vs. Walker,1.0,bw,ko_tko,1,124,5f444eac11e55161,Douglas Silva de Andrade ,Gaetano Pirrello,2021-10-02
UFC Fight Night: Santos vs. Walker,1.0,wbw,ko_tko,2,142,c1e5859053263811,Stephanie Egger ,Shanna Young,2021-10-02
UFC Fight Night: Santos vs. Walker,1.0,bw,sub,2,253,e7423a91a253b416,Alejandro Perez ,Johnny Eduardo,2021-10-02
UFC 266: Volkanovski vs. Ortega,0.0,mw,ko_tko,3,44,92e006a93f983fb5,Nick Diaz ,Robbie Lawler,2021-09-25
UFC 266: Volkanovski vs. Ortega,1.0,hw,dec_una,3,300,f4df74046a1c4364,Curtis Blaydes ,Jairzinho Rozenstruik,2021-09-25
UFC 266: Volkanovski vs. Ortega,1.0,wflw,ko_tko,1,294,f4a2806f77ac1cdc,Jessica Andrade ,Cynthia Calvillo,2021-09-25
UFC 266: Volkanovski vs. Ortega,0.0,bw,ko_tko,2,265,bc276e0f07e30a54,Marlon Moraes ,Merab Dvalishvili,2021-09-25
UFC 266: Volkanovski vs. Ortega,1.0,lw,dec_una,3,300,b3c23fb2d71bba51,Dan Hooker ,Nasrat Haqparast,2021-09-25
UFC 266: Volkanovski vs. Ortega,0.0,hw,ko_tko,2,83,f085f32bbb3220e1,Shamil Abdurakhimov ,Chris Daukaus,2021-09-25
UFC 266: Volkanovski vs. Ortega,0.0,wflw,dec_una,3,300,e7bb37681652c2c2,Roxanne Modafferi ,Taila Santos,2021-09-25
UFC 266: Volkanovski vs. Ortega,0.0,lw,sub,1,241,7abc4520f63f2c06,Uros Medic ,Jalin Turner,2021-09-25
UFC 266: Volkanovski vs. Ortega,0.0,mw,dec_una,3,300,d8189169b2c8a2aa,Cody Brundage ,Nick Maximov,2021-09-25
UFC 266: Volkanovski vs. Ortega,1.0,ww,ko_tko,1,15,73f6b72b4889088f,Matthew Semelsberger ,Martin Sano,2021-09-25
UFC 266: Volkanovski vs. Ortega,1.0,ftw,sub,2,211,7484298ad57099be,Jonathan Pearce ,Omar Morales,2021-09-25
UFC Fight Night: Smith vs. Spann,1.0,lhw,sub,1,227,d1621b3da377f34b,Anthony Smith ,Ryan Spann,2021-09-18
UFC Fight Night: Smith vs. Spann,1.0,lhw,dec_una,3,300,4b5f9b7c31d1205d,Ion Cutelaba ,Devin Clark,2021-09-18
UFC Fight Night: Smith vs. Spann,1.0,wflw,dec_una,3,300,ceaf7ed5ade30d9f,Ariane Lipski ,Mandy Bohm,2021-09-18
UFC Fight Night: Smith vs. Spann,1.0,lw,ko_tko,1,129,13a8ddb1c3f55ed4,Arman Tsarukyan ,Christos Giagos,2021-09-18
UFC Fight Night: Smith vs. Spann,1.0,bw,ko_tko,2,130,576b795e33ddd62d,Nate Maness ,Tony Gravely,2021-09-18
UFC Fight Night: Smith vs. Spann,1.0,mw,ko_tko,3,146,401f5f4714132d50,Joaquin Buckley ,Antonio Arroyo,2021-09-18
UFC Fight Night: Smith vs. Spann,0.0,lhw,dec_una,3,300,d06495deb1ff1750,Mike Rodriguez ,Tafon Nchukwi,2021-09-18
UFC Fight Night: Smith vs. Spann,0.0,wbw,dec_una,3,300,2d42742aade53799,Pannie Kianzad ,Raquel Pennington,2021-09-18
UFC Fight Night: Smith vs. Spann,1.0,lw,ko_tko,3,275,85e5498808346d6b,Rong Zhu ,Brandon Jenkins,2021-09-18
UFC Fight Night: Smith vs. Spann,1.0,bw,dec_una,3,300,dc870fab1e0f15e1,Montel Jackson ,JP Buys,2021-09-18
UFC Fight Night: Smith vs. Spann,1.0,wflw,dec_una,3,300,0ce63c2148e70b4c,Erin Blanchfield ,Sarah Alpar,2021-09-18
UFC Fight Night: Smith vs. Spann,0.0,ww,ko_tko,1,158,06b3226c34c17001,Impa Kasanganay ,Carlston Harris,2021-09-18
UFC Fight Night: Smith vs. Spann,0.0,wflw,sub,1,257,eb10feae98ea7d36,Emily Whitmire ,Hannah Goldy,2021-09-18
UFC Fight Night: Brunson vs. Till,1.0,mw,sub,3,133,14f2bb86fd888e91,Derek Brunson ,Darren Till,2021-09-04
UFC Fight Night: Brunson vs. Till,1.0,hw,ko_tko,1,150,b977ffcc6428046f,Tom Aspinall ,Serghei Spivac,2021-09-04
UFC Fight Night: Brunson vs. Till,1.0,ww,dec_una,3,300,f09912e9d8eaa968,Alex Morono ,David Zawada,2021-09-04
UFC Fight Night: Brunson vs. Till,0.0,lhw,ko_tko,2,150,ad81be01a461c936,Modestas Bukauskas ,Khalil Rountree Jr.,2021-09-04
UFC Fight Night: Brunson vs. Till,1.0,lw,ko_tko,1,265,8fc238e84c4624a7,Paddy Pimblett ,Luigi Vendramini,2021-09-04
UFC Fight Night: Brunson vs. Till,1.0,wflw,dec_una,3,300,06c0c7dda5a5909d,Molly McCann ,Ji Yeon Kim,2021-09-04
UFC Fight Night: Brunson vs. Till,1.0,bw,dec_una,3,300,4fc128b1bdf088b1,Jack Shore ,Liudvik Sholinian,2021-09-04
UFC Fight Night: Brunson vs. Till,0.0,mw,dec_una,3,300,a7c38d4d66abf923,Dalcha Lungiambula ,Marc-Andre Barriault,2021-09-04
UFC Fight Night: Barboza vs. Chikadze,0.0,ftw,ko_tko,3,104,5cd1869013741767,Edson Barboza ,Giga Chikadze,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,1.0,mw,sub,2,135,5086f9fb4fdc2f60,Bryan Battle ,Gilbert Urbina,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,1.0,bw,dec_spl,3,300,ed64e42263bf50bf,Ricky Turcios ,Brady Hiestand,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,0.0,ww,dec_una,3,300,089a17e450cc98aa,Kevin Lee ,Daniel Rodriguez,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,1.0,mw,ko_tko,3,192,ad3aa9520131ff2e,Andre Petroski ,Micheal Gillmore,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,0.0,mw,sub,2,109,1de342e9309c5f0f,Makhmud Muradov ,Gerald Meerschaert,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,0.0,mw,ko_tko,1,17,e24c8aab497b4fe1,Alessio Di Chirico ,Abdul Razak Alhassan,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,0.0,mw,dec_spl,3,300,58d5e4afc2dd35d1,Sam Alvey ,Wellington Turman,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,1.0,lhw,ko_tko,1,184,0f3a91caeaa55094,Dustin Jacoby ,Darren Stewart,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,1.0,wflw,dec_una,3,300,2cb9ba68fc855f33,JJ Aldrich ,Vanessa Demopoulos,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,0.0,ftw,sub,1,113,ef4484943b1c68a9,Jamall Emmers ,Pat Sabatini,2021-08-28
UFC Fight Night: Barboza vs. Chikadze,1.0,bw,dec_spl,3,300,be4890f4aaadec28,Mana Martinez ,Guido Cannetti,2021-08-28
UFC Fight Night: Cannonier vs. Gastelum,1.0,mw,dec_una,5,300,f536ba47f006474a,Jared Cannonier ,Kelvin Gastelum,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,0.0,lw,dec_spl,3,300,3a9e0fed344fd07d,Clay Guida ,Mark Madsen,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,1.0,hw,dec_una,3,300,47230f9b5d7ae037,Parker Porter ,Chase Sherman,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,0.0,bw,sub,3,279,e1897ff433134cb8,Trevin Jones ,Saidyokub Kakhramonov,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,1.0,lw,dec_una,3,300,755d84d5f4aa4dbf,Vinc Pichel ,Austin Hubbard,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,1.0,flw,sub,2,106,0b47788da6de735e,Alexandre Pantoja ,Brandon Royval,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,1.0,ftw,dec_una,3,300,12d2b282561b5e5f,Austin Lingo ,Luis Saldana,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,1.0,bw,dec_una,3,300,bfacb44c24bfe0e9,Brian Kelleher ,Domingo Pilarte,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,0.0,wbw,ko_tko,1,294,92d39a17e34cf581,Bea Malecki ,Josiane Nunes,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,1.0,lhw,ko_tko,1,238,5e2ce5aa3a92c2df,William Knight ,Fabio Cherant,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,0.0,lw,ko_tko,3,295,8badcb2134c1cdaf,Roosevelt Roberts ,Ignacio Bahamondes,2021-08-21
UFC Fight Night: Cannonier vs. Gastelum,0.0,ww,sub,1,153,47a157222b2c9092,Sasha Palatnikov ,Ramiz Brahimaj,2021-08-21
UFC 265: Lewis vs. Gane,1.0,bw,dec_una,3,300,980927e7dcc131c0,Jose Aldo ,Pedro Munhoz,2021-08-07
UFC 265: Lewis vs. Gane,0.0,ww,sub,1,205,efe985e626a0d8c0,Michael Chiesa ,Vicente Luque,2021-08-07
UFC 265: Lewis vs. Gane,1.0,wsw,dec_una,3,300,903d2c361d005b70,Tecia Torres ,Angela Hill,2021-08-07
UFC 265: Lewis vs. Gane,1.0,bw,dec_spl,3,300,962aab0abdd34173,Song Yadong ,Casey Kenney,2021-08-07
UFC 265: Lewis vs. Gane,0.0,lw,dec_una,3,300,76ece0ee2ef5d240,Bobby Green ,Rafael Fiziev,2021-08-07
UFC 265: Lewis vs. Gane,1.0,bw,dec_una,3,300,3d75081ce43774ca,Vince Morales ,Drako Rodriguez,2021-08-07
UFC 265: Lewis vs. Gane,1.0,lhw,dec_una,3,300,dcd0793ff1a43b68,Alonzo Menifield ,Ed Herman,2021-08-07
UFC 265: Lewis vs. Gane,0.0,wsw,sub,1,272,f2336b7545f5f442,Karolina Kowalkiewicz ,Jessica Penne,2021-08-07
UFC 265: Lewis vs. Gane,1.0,flw,ko_tko,1,284,85c5dd604d5b3634,Manel Kape ,Ode Osbourne,2021-08-07
UFC 265: Lewis vs. Gane,1.0,bw,ko_tko,3,76,9a678f346946b6a4,Miles Johns ,Anderson Dos Santos,2021-08-07
UFC 265: Lewis vs. Gane,0.0,wflw,tko_doc,2,300,cce232c1b1b2e4a0,Victoria Leonardo ,Melissa Gatto,2021-08-07
UFC 265: Lewis vs. Gane,1.0,bw,sub,2,155,af9927b5589e708b,Johnny Munoz ,Jamey Simmons,2021-08-07
UFC Fight Night: Hall vs. Strickland,0.0,mw,dec_una,5,300,8522bc62e8d942ab,Uriah Hall ,Sean Strickland,2021-07-31
UFC Fight Night: Hall vs. Strickland,1.0,wsw,ko_tko,1,60,b4622ca7cf0e8506,Cheyanne Vlismas ,Gloria de Paula,2021-07-31
UFC Fight Night: Hall vs. Strickland,0.0,ww,ko_tko,1,68,e3ecb94228c2739f,Niklas Stolze ,Jared Gooden,2021-07-31
UFC Fight Night: Hall vs. Strickland,0.0,ftw,ko_tko,2,110,6671b567c4eb9982,Collin Anglin ,Melsik Baghdasaryan,2021-07-31
UFC Fight Night: Hall vs. Strickland,0.0,ww,dec_maj,3,300,9eef9b7967991296,Bryan Barberena ,Jason Witt,2021-07-31
UFC Fight Night: Hall vs. Strickland,1.0,lw,dec_una,3,300,12ceec9431fb0827,Chris Gruetzemacher ,Rafa Garcia,2021-07-31
UFC Fight Night: Hall vs. Strickland,1.0,wsw,dec_una,3,300,96c51bc6316a4b47,Jinh Yu Frey ,Ashley Yoder,2021-07-31
UFC Fight Night: Hall vs. Strickland,0.0,flw,dec_una,3,300,1978b44503c3d9ff,Ryan Benoit ,Zarrukh Adashev,2021-07-31
UFC Fight Night: Hall vs. Strickland,1.0,ww,ko_tko,2,261,fb9095887dca34c7,Phil Rowe ,Orion Cosce,2021-07-31
UFC Fight Night: Sandhagen vs. Dillashaw,0.0,bw,dec_spl,5,300,214b268e4a92f950,Cory Sandhagen ,TJ Dillashaw,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,0.0,bw,dec_maj,3,300,4bb77b1d8efc53a9,Kyler Phillips ,Raulian Paiva,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,1.0,ftw,ko_tko,2,228,1bde9cb65d31cc76,Darren Elkins ,Darrick Minner,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,0.0,wflw,dec_spl,3,300,7c3ad06a520b8716,Miranda Maverick ,Maycee Barber,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,1.0,bw,ko_tko,2,131,43c391b251337c9b,Adrian Yanez ,Randy Costa,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,0.0,mw,dec_una,3,300,4911094a4ee26868,Punahele Soriano ,Brendan Allen,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,1.0,mw,ko_tko,2,189,dff1dbb8fe1f31cb,Nassourdine Imavov ,Ian Heinisch,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,1.0,ww,sub,1,177,1be65a0d2c1383f6,Mickey Gall ,Jordan Williams,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,1.0,bw,ko_tko,2,225,cade0268dec56f3d,Julio Arce ,Andre Ewell,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,1.0,wflw,ko_tko,1,229,c13474b85d3ced32,Sijara Eubanks ,Elise Reed,2021-07-24
UFC Fight Night: Sandhagen vs. Dillashaw,1.0,wsw,dec_una,3,300,40ce202eaa78860c,Diana Belbita ,Hannah Goldy,2021-07-24
UFC Fight Night: Makhachev vs. Moises,1.0,lw,sub,4,158,7d4c160dab6eae73,Islam Makhachev ,Thiago Moises,2021-07-17
UFC Fight Night: Makhachev vs. Moises,0.0,wbw,ko_tko,3,113,f0b83b05f3dd9580,Marion Reneau ,Miesha Tate,2021-07-17
UFC Fight Night: Makhachev vs. Moises,0.0,lw,sub,1,65,72105dd82d964e7a,Jeremy Stephens ,Mateusz Gamrot,2021-07-17
UFC Fight Night: Makhachev vs. Moises,1.0,mw,sub,3,114,813444e109995c97,Rodolfo Vieira ,Dustin Stoltzfus,2021-07-17
UFC Fight Night: Makhachev vs. Moises,0.0,ftw,ko_tko,3,220,940701effe1d2b6c,Gabriel Benitez ,Billy Quarantillo,2021-07-17
UFC Fight Night: Makhachev vs. Moises,1.0,ww,ko_tko,1,227,8151659b2bc16f0e,Daniel Rodriguez ,Preston Parsons,2021-07-17
UFC Fight Night: Makhachev vs. Moises,1.0,wsw,ko_tko,1,35,c5e71fbf22f669f7,Amanda Lemos ,Montserrat Conejo,2021-07-17
UFC Fight Night: Makhachev vs. Moises,0.0,bw,dec_una,3,300,93d5452726f5f364,Khalid Taha ,Sergey Morozov,2021-07-17
UFC Fight Night: Makhachev vs. Moises,0.0,flw,dec_una,3,300,49876b12d440af40,Francisco Figueiredo ,Malcolm Gordon,2021-07-17
UFC Fight Night: Makhachev vs. Moises,0.0,hw,ko_tko,2,89,7d0874323bd1f768,Alan Baudot ,Rodrigo Nascimento,2021-07-17
UFC 264: Poirier vs. McGregor 3,1.0,lw,tko_doc,1,300,7d0ce28ce8a77eb1,Dustin Poirier ,Conor McGregor,2021-07-10
UFC 264: Poirier vs. McGregor 3,1.0,ww,dec_una,3,300,8245791a3d3403c6,Gilbert Burns ,Stephen Thompson,2021-07-10
UFC 264: Poirier vs. McGregor 3,1.0,hw,ko_tko,1,67,53b480b44b0b51f1,Tai Tuivasa ,Greg Hardy,2021-07-10
UFC 264: Poirier vs. McGregor 3,1.0,wbw,ko_tko,1,275,3740c8033e31c90d,Irene Aldana ,Yana Kunitskaya,2021-07-10
UFC 264: Poirier vs. McGregor 3,1.0,bw,ko_tko,3,273,dbcc5b5d568efa8b,Sean O'Malley ,Kris Moutinho,2021-07-10
UFC 264: Poirier vs. McGregor 3,0.0,ww,dec_una,3,300,7070abfa26c079b8,Carlos Condit ,Max Griffin,2021-07-10
UFC 264: Poirier vs. McGregor 3,0.0,ww,dec_una,3,300,96bbb6c573dac27a,Niko Price ,Michel Pereira,2021-07-10
UFC 264: Poirier vs. McGregor 3,0.0,ftw,ko_tko,1,287,07468b6347ac5e3d,Ryan Hall ,Ilia Topuria,2021-07-10
UFC 264: Poirier vs. McGregor 3,0.0,mw,ko_tko,2,101,858feabaf429a963,Trevin Giles ,Dricus Du Plessis,2021-07-10
UFC 264: Poirier vs. McGregor 3,1.0,wflw,dec_una,3,300,5d5bf07dbfada0e3,Jennifer Maia ,Jessica Eye,2021-07-10
UFC 264: Poirier vs. McGregor 3,0.0,mw,dec_spl,3,300,1aba46988c9b58f9,Omari Akhmedov ,Brad Tavares,2021-07-10
UFC 264: Poirier vs. McGregor 3,1.0,flw,sub,1,122,ac0a1d87e9ff4085,Zhalgas Zhumagulov ,Jerome Rivera,2021-07-10
UFC Fight Night: Gane vs. Volkov,1.0,hw,dec_una,5,300,78afed76d0e9a639,Ciryl Gane ,Alexander Volkov,2021-06-26
UFC Fight Night: Gane vs. Volkov,1.0,hw,ko_tko,2,151,d40eae4425092219,Tanner Boser ,Ovince Saint Preux,2021-06-26
UFC Fight Night: Gane vs. Volkov,0.0,bw,dec_maj,3,300,ce0fda34122f3d48,Raoni Barcelos ,Timur Valiev,2021-06-26
UFC Fight Night: Gane vs. Volkov,1.0,ww,dec_una,3,300,c9283da5f4d7aaf4,Tim Means ,Nicolas Dalby,2021-06-26
UFC Fight Night: Gane vs. Volkov,1.0,lw,sub,2,274,4341ebb5a56e6943,Renato Moicano ,Jai Herbert,2021-06-26
UFC Fight Night: Gane vs. Volkov,1.0,lhw,ko_tko,3,20,85099c6378ff87c5,Kennedy Nzechukwu ,Danilo Marques,2021-06-26
UFC Fight Night: Gane vs. Volkov,1.0,ww,sub,2,130,086c2a0cae0835c4,Shavkat Rakhmonov ,Michel Prazeres,2021-06-26
UFC Fight Night: Gane vs. Volkov,0.0,ww,ko_tko,2,30,81de3929330076d2,Warlley Alves ,Jeremiah Wells,2021-06-26
UFC Fight Night: Gane vs. Volkov,1.0,lhw,ko_tko,2,56,d988760df61f027c,Marcin Prachnio ,Ike Villanueva,2021-06-26
UFC Fight Night: Gane vs. Volkov,1.0,wbw,sub,3,259,0eac7075bf3d7ab7,Julia Avila ,Julija Stoliarenko,2021-06-26
UFC Fight Night: Gane vs. Volkov,1.0,ftw,dec_spl,3,300,5357dab4d331eb18,Charles Rosa ,Justin Jaynes,2021-06-26
UFC Fight Night: Gane vs. Volkov,0.0,lw,dec_una,3,300,23c7c6ceee34585f,Yancy Medeiros ,Damir Hadzovic,2021-06-26
UFC Fight Night: Jung vs. Ige,1.0,ftw,dec_una,5,300,50cae63d530ede7c,Chan Sung Jung ,Dan Ige,2021-06-19
UFC Fight Night: Jung vs. Ige,0.0,hw,dec_una,3,300,6fd9a013cea5a403,Aleksei Oleinik ,Serghei Spivac,2021-06-19
UFC Fight Night: Jung vs. Ige,1.0,bw,dec_una,3,300,a83ebbf013905949,Marlon Vera ,Davey Grant,2021-06-19
UFC Fight Night: Jung vs. Ige,0.0,ftw,ko_tko,1,97,d3c0dfa57950aefd,Julian Erosa ,SeungWoo Choi,2021-06-19
UFC Fight Night: Jung vs. Ige,0.0,mw,ko_tko,1,285,bb1ac382e0277b3f,Wellington Turman ,Bruno Silva,2021-06-19
UFC Fight Night: Jung vs. Ige,1.0,ww,ko_tko,2,182,2bdf774dc8b17504,Matt Brown ,Dhiego Lima,2021-06-19
UFC Fight Night: Jung vs. Ige,0.0,lhw,dec_spl,3,300,744627aec853874e,Aleksa Camur ,Nicolae Negumereanu,2021-06-19
UFC Fight Night: Jung vs. Ige,0.0,wsw,tko_doc,2,300,53ed3f8f653b37b2,Kanako Murata ,Virna Jandiroba,2021-06-19
UFC Fight Night: Jung vs. Ige,1.0,ww,dec_una,3,300,87c8e086c29ae543,Khaos Williams ,Matthew Semelsberger,2021-06-19
UFC Fight Night: Jung vs. Ige,1.0,hw,dec_spl,3,300,e8fd128286788a6d,Josh Parisian ,Roque Martinez,2021-06-19
UFC Fight Night: Jung vs. Ige,0.0,lw,ko_tko,1,37,1e9f081a84e7ec18,Joaquim Silva ,Ricky Glenn,2021-06-19
UFC Fight Night: Jung vs. Ige,1.0,wflw,sub,3,174,d684d8b02ab53031,Casey O'Neill ,Lara Procopio,2021-06-19
UFC 263: Adesanya vs. Vettori 2,1.0,ww,dec_una,5,300,b070b8c2c489d838,Leon Edwards ,Nate Diaz,2021-06-12
UFC 263: Adesanya vs. Vettori 2,0.0,ww,dec_una,3,300,43dfb2c1e5fecac9,Demian Maia ,Belal Muhammad,2021-06-12
UFC 263: Adesanya vs. Vettori 2,1.0,lhw,ko_tko,1,119,4560734220b96851,Paul Craig ,Jamahal Hill,2021-06-12
UFC 263: Adesanya vs. Vettori 2,0.0,lw,dec_una,3,300,7d2051c6bae907cb,Drew Dober ,Brad Riddell,2021-06-12
UFC 263: Adesanya vs. Vettori 2,1.0,lhw,dec_una,3,300,9127a6430e46292c,Eryk Anders ,Darren Stewart,2021-06-12
UFC 263: Adesanya vs. Vettori 2,1.0,wflw,dec_spl,3,300,34cb6e9952cd30a4,Lauren Murphy ,Joanne Wood,2021-06-12
UFC 263: Adesanya vs. Vettori 2,1.0,ftw,dec_una,3,300,d66164d2c770da68,Movsar Evloev ,Hakeem Dawodu,2021-06-12
UFC 263: Adesanya vs. Vettori 2,1.0,wbw,dec_una,3,300,34d38d77c1d3f00e,Pannie Kianzad ,Alexis Davis,2021-06-12
UFC 263: Adesanya vs. Vettori 2,0.0,lw,ko_tko,1,7,d4ad90ac58429b64,Matt Frevola ,Terrance McKinney,2021-06-12
UFC 263: Adesanya vs. Vettori 2,0.0,ftw,dec_una,3,300,84cde29aebf6c00c,Chase Hooper ,Steven Peterson,2021-06-12
UFC 263: Adesanya vs. Vettori 2,1.0,lw,dec_maj,3,300,dedb74ee9d84deab,Fares Ziam ,Luigi Vendramini,2021-06-12
UFC 263: Adesanya vs. Vettori 2,1.0,hw,dec_spl,3,300,1b4d5dbf5f663a97,Carlos Felipe ,Jake Collier,2021-06-12
UFC Fight Night: Rozenstruik vs. Sakai,1.0,hw,ko_tko,1,299,2c0cddd12deb7450,Jairzinho Rozenstruik ,Augusto Sakai,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,0.0,hw,ko_tko,1,246,f187c7ec92f43828,Walt Harris ,Marcin Tybura,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,1.0,mw,dec_una,3,300,bb6438338bb8aebf,Roman Dolidze ,Laureano Staropoli,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,1.0,ww,dec_una,3,300,5c0e5d850d8e661f,Santiago Ponzinibbio ,Miguel Baeza,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,0.0,mw,dec_una,3,300,9252ad2304fd9a26,Dusko Todorovic ,Gregory Rodrigues,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,1.0,wflw,ko_tko,2,267,1a50d5c7e1e5c058,Montana De La Rosa ,Ariane Lipski,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,0.0,hw,dec_spl,3,300,0716a38768a34789,Tanner Boser ,Ilir Latifi,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,0.0,ww,dec_una,3,300,23b943e9ce495f0b,Francisco Trinaldo ,Muslim Salikhov,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,0.0,ftw,dec_una,3,300,827aacd14f80e8f3,Makwan Amirkhani ,Kamuela Kirk,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,1.0,wflw,ko_tko,2,180,419d1e29668b57fb,Manon Fiorot ,Tabatha Ricci,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,1.0,ftw,dec_spl,3,300,73a83b2595416f0a,Sean Woodson ,Youssef Zalal,2021-06-05
UFC Fight Night: Rozenstruik vs. Sakai,1.0,lw,dec_una,3,300,58c5d506181812fa,Claudio Puelles ,Jordan Leavitt,2021-06-05
UFC Fight Night: Font vs. Garbrandt,1.0,bw,dec_una,5,300,d16f7ab4e28171ea,Rob Font ,Cody Garbrandt,2021-05-22
UFC Fight Night: Font vs. Garbrandt,0.0,wsw,ko_tko,2,178,16369fa06392f6a0,Yan Xiaonan ,Carla Esparza,2021-05-22
UFC Fight Night: Font vs. Garbrandt,0.0,hw,dec_una,3,300,559c0c3d752f327a,Justin Tafa ,Jared Vanderaa,2021-05-22
UFC Fight Night: Font vs. Garbrandt,1.0,ftw,dec_una,3,300,ae0afbff5ba07a34,Ricardo Ramos ,Bill Algeo,2021-05-22
UFC Fight Night: Font vs. Garbrandt,1.0,mw,dec_una,3,300,7f8340dfe4220c3e,Jack Hermansson ,Edmen Shahbazyan,2021-05-22
UFC Fight Night: Font vs. Garbrandt,1.0,hw,sub,2,127,3627f5133ce55902,Ben Rothwell ,Chris Barnett,2021-05-22
UFC Fight Night: Font vs. Garbrandt,1.0,ww,dec_una,3,300,e624d85a0d718578,Court McGee ,Claudio Silva,2021-05-22
UFC Fight Night: Font vs. Garbrandt,1.0,flw,ko_tko,1,60,b381dc272b32ce03,Bruno Silva ,Victor Rodriguez,2021-05-22
UFC Fight Night: Font vs. Garbrandt,1.0,ftw,dec_una,3,300,c7cf2194fe5c751f,Josh Culibao ,Shayilan Nuerdanbieke,2021-05-22
UFC Fight Night: Font vs. Garbrandt,1.0,flw,sub,1,138,d44a814b106b94ff,David Dvorak ,Juancamilo Ronderos,2021-05-22
UFC Fight Night: Font vs. Garbrandt,0.0,lw,dec_una,3,300,82d48296fd06c27f,Rafael Alves ,Damir Ismagulov,2021-05-22
UFC 262: Oliveira vs. Chandler,0.0,lw,dec_una,3,300,cfbaeb80b5ff7c00,Tony Ferguson ,Beneil Dariush,2021-05-15
UFC 262: Oliveira vs. Chandler,1.0,wflw,dec_una,3,300,8cb4e3f056a84b0d,Katlyn Chookagian ,Viviane Araujo,2021-05-15
UFC 262: Oliveira vs. Chandler,0.0,ftw,ko_tko,3,76,6655a8da2655f2d0,Shane Burgos ,Edson Barboza,2021-05-15
UFC 262: Oliveira vs. Chandler,0.0,mw,sub,1,239,ca22bafab913aae7,Jacare Souza ,Andre Muniz,2021-05-15
UFC 262: Oliveira vs. Chandler,1.0,ftw,dec_spl,3,300,be2e28ba3bdeb400,Lando Vannata ,Mike Grundy,2021-05-15
UFC 262: Oliveira vs. Chandler,1.0,mw,ko_tko,1,64,5573d46130d6b967,Jordan Wright ,Jamie Pickett,2021-05-15
UFC 262: Oliveira vs. Chandler,1.0,wflw,sub,2,292,2b894d87ad9aae05,Andrea Lee ,Antonina Shevchenko,2021-05-15
UFC 262: Oliveira vs. Chandler,0.0,wflw,ko_tko,2,291,bfd672cac0726a9a,Gina Mazany ,Priscila Cachoeira,2021-05-15
UFC 262: Oliveira vs. Chandler,0.0,ftw,dec_una,3,300,1f2f27b36e79da74,Kevin Aguilar ,Tucker Lutz,2021-05-15
UFC 262: Oliveira vs. Chandler,1.0,lw,sub,2,59,de332779baa1b103,Christos Giagos ,Sean Soriano,2021-05-15
UFC Fight Night: Rodriguez vs. Waterson,1.0,wflw,dec_una,5,300,b948102c6205af63,Marina Rodriguez ,Michelle Waterson,2021-05-08
UFC Fight Night: Rodriguez vs. Waterson,0.0,ww,ko_tko,1,280,db2c805201a3116e,Donald Cerrone ,Alex Morono,2021-05-08
UFC Fight Night: Rodriguez vs. Waterson,1.0,ww,dec_una,3,300,178c4926223dca0c,Neil Magny ,Geoff Neal,2021-05-08
